finished_at,forget_acc,ft_100steps,ft_500steps,ft_50steps,gradient_steps,method,mia_auc,peak_gpu_gb,quant_bf16,quant_int4,quant_int8,retain_acc,started_at,wall_time_min
2026-03-27 19:09:47,0.0277,0.4594,0.5042,0.4363,300,ga,0.0,11.2,0.028,0.2619,0.0,0.5209,2026-03-27 18:23:46,39.3
2026-03-27 19:42:23,0.6362,0.6105,0.6144,0.6146,300,npo,0.4944,22.76,0.6138,0.6134,0.0,0.6238,2026-03-27 19:09:48,22.3
2026-03-27 20:45:37,0.0367,0.1517,0.2082,0.1128,300,scrub,0.0,18.1,0.0312,0.2124,0.0,0.5263,2026-03-27 19:42:25,22.1
2026-03-27 21:13:32,0.0108,0.3152,0.2901,0.2215,300,salun,0.0,22.57,0.0082,0.051,0.0,0.5412,2026-03-27 20:45:38,19.6
